Course ID,Course,Course Name,Course Hours,Course Description
1,MATH 141,Calculus I,4,"Single variable calculus especially for students of science, engineering, mathematics, and computer science. Differential calculus with applications."
1,MATH 147,Honors Calculus I ,4,Honors version of 141 for well-prepared students.
2,EF 141,Engineering Fundamentals I,4,
2,EF 151,Engineering Fundamentals,4,
2,EF 157,Honors Engineering Fundamentals I,4,
3,EF 105,Computer Methods in Engineering Problem Solving ,1,"Introduction to computer applications used in engineering problem solving and communications. Introduction to programming concepts, including conditional statements and looping, and the development and implementation of logic flow diagrams."
4,CHEM 122,General Chemistry,3,"A general course in theoretical and descriptive chemistry. Modern atomic theory, chemical bonding, molecular structures and geometries, stoichiometry, and quantitative aspects of solution chemistry, gas laws, and chemical energy."
4,CHEM 123,General Chemistry Lab ,1,
4,CHEM 128,Honors General Chemistry ,4,"A sophisticated treatment of the principles of chemistry designed for students who are well prepared for a thorough and systematic study of chemistry. Topics include atomic structure and bonding, molecular structure, spectroscopy, chemical reactions and stoichiometry, introduction to organic compounds and reactions, intermolecular forces and phase transitions, behavior of gases."
5,CHEM 132,General Chemistry 2,3,"A general course in theoretical and descriptive chemistry. Intermolecular forces, kinetics, chemical equilibria, acid and base chemistry, thermodynamics, electrochemistry, and introduction to coordination chemistry."
5,CHEM 133,General Chemistry 2 Lab ,1,
5,CHEM 138,Honors General Chemistry 2,4,"A sophisticated treatment of the principles of chemistry designed for students who are well prepared for a thorough and systematic study of chemistry. Topics include chemical equilibrium, thermodynamics, kinetics, transition metal complexes, and nuclear chemistry."
6,EF 152,Physics for Engineers 2,4,"Calculus-based study of basic physics concepts, including rotational dynamics, statics, oscillations, waves, fluids, heat and temperature, first and second law of thermodynamics and electricity and magnetism. Introduction to team work. Introduction to the engineering disciplines, examination of engineering principles and design issues. Oral and written presentation skills."
6,EF 158,Honors Physics for Engineers 2,4,Honors 152
7,MATH 142,Calculus II,4,"Single variable calculus especially for students of science, engineering, mathematics, and computer science. Integral calculus with applications."
7,MATH 148,Honors Calculus II,4,
8,CHEM 210,Foundations of Analytical Chemistry ,3,Principles and practices of wet chemical and instrumental methods of chemical analysis with statistical treatment of acquired date.
8,CHEM 219,Foundations of Analytical Chemistry Lab,1,Experiments on the principles and practices of wet chemical and instrumental methods of chemical analysis with statistical treatment of acquired data.
9,CBE 201,Material and Energy Balances,4,Steady-state and transient material and energy balances in chemical and biomolecular systems. Introduction to flowsheet software.
10,CBE 235,Fundamentals of Molecular Bioengineering,3,"Summary of principles of biochemistry, molecular biology, and genetics from an engineering and applied science perspective. Examples of biologically-based molecular technologies and analysis and manipulation of living systems for technological applications."
11,MATH 231,Differential Equations,3,"First course emphasizing solution techniques. Includes first-order equations and applications, theory of linear equations, equations with constant coefficients, Laplace transforms, and series solutions."
11,MATH 237,Honors Differential Equations,3,Honors version of Math 231
12,CBE 240,Fluid Flow and Heat Transfer,4,"Force, energy and mechanical energy balances; flow in tubes, piping systems, packed and fluidized beds; pumping and metering; steady and unsteady state heat conduction; heat transfer in tubes and heat exchangers; radiation."
13,CBE 250,Applications of Biomolecular and Chemical Engineering Thermodynamics,4,"Basic concepts related to engineering applications of thermodynamics to the chemical and biomolecular industries; emphasis on flow processes, real gases and liquids, protein synthesis and hydration, estimation of physical properties, phase equilibria of industrial chemical and pharmaceutical processes, and chemical reaction equilibria including biomolecular applications."
14,PHYS 231,Fundamentals of Physics: Electricity and Magnetism,3,"For engineers and majors in mathematics and the physical sciences. Electric and magnetic phenomena including DC and AC circuits and electromagnetic waves.
"
15,MATH 241,Calculus III,4,"Calculus of functions in two or more dimensions. Includes solid analytic geometry, partial differentiation, multiple integration, and selected topics in vector calculus."
15,MATH 247,Honors Calculus II,4,
16,CBE 301,Application of Numerical and Statistical Techniques in Chemical Engineering,4,"Numerical methods for regression, integration, solution for systems of linear/nonlinear algebraic and differential equations for applications to chemical engineering problems; statistical methods for probabilities, expectations, sampling, and estimation for applications to chemical engineering problems."
17,CBE 350,Chemical and Bioengineering Reactor Fundamentals,4,"Homogeneous and heterogeneous reaction kinetics; idealized homogeneous reactor models, both for closed and flow systems; analysis of batch reactor data; multiple reactions; non-isothermal reactions."
18,CHEM 260,Foundations of Organic Chemistry,3,"Compounds of carbon and their reactions. Reaction mechanisms, synthesis, spectroscopic, and other physical properties."
18,CHEM 268,Honors Foundations of Organic Chemistry,3,Honors Chem 260
19,CBE 320,Chemical and Biomolecular Engineering Lab,3,"Experiments in unit operations such as pumps, heat exchangers, distillation columns, and fermenters. Application of the principles of transport phenomena."
20,CBE 340,Mass Transfer and Separation Processes,3,"Stagewise operation. Application of analytical, graphical, and computer methods to design of stagewise separatory operations. Differential operations application of analytical and computer methods to the design of diffusive processes. Applications include gas absorption, stripping, binary distillation, and extraction."
21,CBE 360,Process Dynamics and Control,3,Introduction to process modeling and industrial control system design. Mathematical tools for characterizing dynamic behavior of processes. Theory and practice of operating and controlling such systems
22,CBE 415,Advanced Chemical and Biomolecular Engineering Lab,3,Solve open-ended problems in a chemical and biomolecular engineering laboratory environment. Incorporate principles of design of experiments and simulation tools in design and analysis.
23,CBE 445,Separation Process Technology for the Pharmaceutical and Chemical Process Industries,3,"Multicomponent distillation, theory and computer simulations; specialized technologies, including membrane separation, crystallization, adsorption, and chromatography."
24,CBE 480,"Equipment Design, Economic Methods, and Process Safety",4,"Design, optimization, and costing of chemical and biochemical plant equipment. Introduction to economic evaluation methods, capital investment, discounted cash flows, and net present worth. Introduction to advanced process safety protocols and procedures, including engineering ethics."
25,COSC 202,Data Structures,4,"Design, analysis, and implementation of fundamental data structures and algorithms including lists, stacks, queues, hash tables, binary search trees and heaps."
26,COSC 230,Computer Organization,3,"Gate level logic, binary number representation and arithmetic, data path and memory hierarchy with focus on code impact, parallel computing, instruction set architecture."
27,ENGL 102,English Composition II,3,"Advancing concepts introduced in ENGL 101*. Intensive writing instruction focused on inquiry and research. Strategies for formulating and investigating questions, locating and evaluating information, using varied sources and research methods, developing positions on intercultural and interdisciplinary issues from diverse texts (print, digital, and multimedia), and presenting research using appropriate rhetorical conventions."
28,COSC 312,Algorithm Analysis and Automata,3,"Counting and combinatorics, with applications to the analysis of algorithms. Introduction to finite automata and regular languages, and to pushdown automata and context free grammars."
29,COSC 340,Software Engineering,3,"Introduction to software processes that can be used on large projects to help design, manage, maintain, and test software. Also provides an introduction to security concerns in software development.  "
30,COSC 395,Junior Seminar,1,"Presentations and discussions related to professional development, including registration, ethics, and current topics in computer science. Students will analyze aspects of scientific and technical writing and write a series of articles suitable for the general public. "
31,COSC 365,Programming Languages and Systems,3,"Language paradigms (procedural, functional, object-oriented, logic), language design and implementation issues, and language issues related to parallelism."
32,COSC 401,Senior Design Theory ,2,"A design course that focuses the student’s attention on professional practice, ethics, accumulated background of curricular components, and recent developments in the field. The focus is on teaching both the design process and design principles that allow students to utilize all of the above elements to effectively create designs for major design projects."
33,COSC 402,Senior Design Practicum,3,A project-oriented course that requires teams of students to design a major project that incorporates the principles taught in COSC 401*. The design emphasis is directed to topics within the field of computer science.
34,ECON 201,Introductory Economics: A Survey Course,4,"Theory of consumer behavior, theory of firms, supply and demand, costs of production, market models, national income and employment theory, money and banking, monetary and fiscal policy, debt, and international economics."
34,ECON 207,Honors: Introductory Economics,4,Honors course for students of superior ability and interest. Students accepted on the basis of their records.
35,CE 391,Water Resources I,3,"Introductory coverage of water resources engineering including fluid properties; conservation of mass, energy, and momentum; hydraulics (flow measurement, pressure pipe, and open channels); and hydrology (hydrologic cycle, groundwater flow, and rainfall-runoff estimation)."
35,ENVE 391,Water Resources I,3,"Introductory coverage of water resources engineering including fluid properties; conservation of mass, energy, and momentum; hydraulics (flow measurement, pressure pipe, and open channels); and hydrology (hydrologic cycle, groundwater flow, and rainfall-runoff estimation)."
36,CE 262,Structural Mechanics,4,"Fundamentals of structural mechanics including reactions, shear and moment diagrams, trusses, axially loaded members, centroids and area moments of inertia, normal and shear stresses in beams, influence lines, Mohr’s Circle, and torsion."
37,ME 202,Engineering Mechanics,2,"Review of vector algebra. Statics of two-dimensional trusses and frames, including methods of joints and sections. Geometric properties of cross sections, including first and second moments and location of centroid. Inertial properties of rigid bodies, including moment of inertia and location of mass center."
38,CE 210,Geomatics,4,"Introduction to the measurement, representation, analysis, management, retrieval, and display of spatial data concerning both the earth’s physical features and the built environment. Covers land and construction surveying, controls, error analysis, use of CADD, and an introduction to global positioning systems (GPS) and geographical information systems (GIS) used in civil engineering."
39,CE 205,CE 205 - Professional Development I,2,"Introduction to civil and environmental engineering specialties, history, and achievements. Professional responsibility, communication, and organizations."
40,CE 381,Environmental Engineering I,3,"Introduction to drinking water treatment and distribution systems, wastewater treatment and collection systems, air pollution, solid/hazardous waste, and environmental regulations."
40,ENVE 381,Environmental Engineering I,3,"Introduction to drinking water treatment and distribution systems, wastewater treatment and collection systems, air pollution, solid/hazardous waste, and environmental regulations."
41,EF 230,Computer Solution of Engineering Problems,2,Primary focus is on development of computer programs in a modern programming language to solve engineering problems.
41,EF 237,Honors: Computer Solution of Engineering Problems,2,Primary focus is on development of computer programs in a modern programming language to solve engineering problems.
42,CE 331,Geotechnical Engineering I,3,"Introduction to soil properties and mechanics including phase relationship and soil classification, moisture compaction relationships, two dimensional seepage analysis, and effective stress in layered strata, consolidation theory, time rate and settlement, shear strength, stress increase with depth due to surface loads, bearing capacity of strip foundations, lateral earth pressures and analysis of homogeneous slopes with linear failure surface."
43,CE 340,Construction Engineering and Management I,3,"Introduction to construction management concepts including developing an understanding of the goals and objectives of various construction stakeholders, delivery and procurement methods, types of construction contracts, planning, quality assurance and control, health and safety, estimating and scheduling."
44,CE 371,Structural Engineering I,3,"Selection of rolled structural beams. Design of structural steel members for axial tension and compression loads, reinforced concrete beams. Use of standard specifications."
45,CE 321,Materials of Construction,3,"A study of the physical and mechanical properties of materials used in construction including aggregates, cements, concretes, masonry, ferrous and non-ferrous metals, and wood; the behavior of materials and structures under load; and material testing standards."
46,CE 355,Transportation Engineering I,3,"Introduction to traffic demand, transportation planning, traffic flow relationships, geometric design, transportation safety, traffic control devices, queuing analysis, and multimodal transportation."
47,CE 300,CADD Applications in Civil Engineering,3,"Essentials of Computer-Aided Drafting and Design (CADD) software to create construction drawings of roads, foundations, buildings, piping, and earthwork plans, as well as flow charts, and project scheduling diagrams. Applications in civil engineering and construction mostly 2-D applications with limited exposure to 3-D applications. Computer intensive course."
48,CE 310,Civil and Environmental Engineering Lab,1,"Introduction to laboratory report writing, design of experimental/testing programs, and fundamental lab and field testing for civil and environmental engineers."
49,CE 305,Professional Development II,2,"Legal and ethical responsibilities, continuous improvement, career planning, business and public policy concepts, and leadership."
49,ENVE 305,Professional Development II,2,"Legal and ethical responsibilities, continuous improvement, career planning, business and public policy concepts, and leadership."
50,CE 401,Review of Engineering Fundamentals,2,Review of selected topics covered on the Fundamentals of Engineering exam. Emphasis is on those topics relating to civil and environmental engineering. Must be taken during either of the final two terms prior to graduation.
51,CE 400,Senior Design II,3,"Open-ended, comprehensive project emphasizing team approach to design process. Includes engineering analysis and design, construction-ready drawings, technical engineering report writing, and various design project components typical of those faced by practicing civil engineers. Must be taken during the term of graduation. Summer graduates must take the course during their last preceding term."
52,BIOL 101,"Introduction to Biology: Cells, Genetics, and Physiology",4,"For non-biology majors, introduction to the principles of biology as they relate to cellular and organismal level processes. Topics include cell structure and major fundamental metabolic processes such as energy flow in biological systems, protein synthesis, and aspects of genetics. Includes a survey of human anatomy and physiology with topics relating to human health."
53,BIOL 102,Introduction to Biology: Biodiversity and Ecology,4,"For non-biology majors, introduction to the principles of biology as they relate to biodiversity and ecological processes. Topics include a survey of evolutionary theory, an analysis of major representative organisms in the Tree of Life, and ecosystem dynamics including human impact on the environment."
54,BIOL 150,Organismal and Ecological Biology,3,"Intended for science majors, an introduction to the major biological concepts emphasizing the organismal and ecological aspects of life. Organized along themes of evolution, structure and function, information flow, exchange and storage, pathways of energy and matter, and systems."
54,BIOL 158,Honors: Organismal and Ecological Biology,3,Same as BIOL 150* but designed for high achieving students.
55,GEOG 131,"Weather, Climate, and Climate Change",4,"Characteristics and processes of the earth’s surface and lower atmosphere; their interaction to produce a world pattern of distinctive environments significant to humanity. Covers elements and controls of climate, atmospheric circulation, precipitation and storms, the hydrological cycle, world climate and vegetation patterns, and climate change."
56,GEOL 101,The Dynamic Earth,4,"In this course, we will discover the physical processes that act within and on Earth, including the formation and destruction of minerals and rocks; the risks and occurrence of volcanoes and earthquakes; and how mountains are built and eroded. Plate tectonics will provide the context of our investigations. Human use of geological resources, and the consequences, will also be highlighted."
57,GEOL 103,The Earth’s Environments,4,"In this course, we explore the relationships between Earth systems and human activities by investigating our most pressing environmental problems, and how people create and mitigate those problems. Topics include population growth, consumption, natural hazards (volcanoes, earthquakes, floods), resource depletion (energy, minerals, water, soil, food), air and water pollution, solid & hazardous waste disposal, and global climate change."
56,GEOL 107,Honors: The Dynamic Earth,4,"Laboratory and field emphasis to understanding physical processes, including the formation of rocks, plate tectonics, earthquakes, and landscapes."
57,Environmental Engineering 513,Unknown,Unknown,Unknown
58,ESS 462,Environmental Climatology,3,"Study of global energy budget, past climates, climate variability, climate distribution, and climate change. Emphasis on global warming and its potential impacts on ecosystems, societies, and global sustainability. Students are required to apply quantitative, computer, and oral communication skills to analyze and report climate data for environmental planning."
59,STATS 251,Probability and Statistics for Scientists and Engineers,3,"Data collection and descriptive statistics. Concepts of probability and probability distributions. Discrete and continuous distributions. Estimation of means, confidence intervals, and hypothesis tests for single mean and proportion. Simple regression and correlation. Process improvement, statistical process control, and 2-level experiments. Use of statistical computing software."
