Co-req or Pre-req,Course ID (code can populate),Course,PreReq Course,Pre-Req Course ID (code can populate),PreReq Bucket ID,PreReq Bucket Name (code can populate)
P,,MATH 141,MATH 130,,NULL,
P,,MATH 132,MATH 131,,NULL,
P,,EF 142,EF 141,,NULL,
P,,EF 142,MATH 131,,NULL,
C,,EF 142,MATH 132,,NULL,
C,,EF 151,MATH 141,,NULL,
C,,EF 105,EF 151,,NULL,
C,,EF 151,NULL,,12,
P,5,NULL,NULL,NULL,4,
C,,ME 202,EF 152,,NULL,
C,,ME 202,MATH 142,,NULL,
P,,CE 205,,,,
P,,EF 142,EF 141,,NULL,
P,,EF 142,MATH 131,,NULL,
C,,EF 142,MATH 132,,NULL,
P,,CE 262,ME 202,,NULL,
P,,ENVE 391,152,,NULL,
C,,ENVE 391,MATH 231,,NULL,
C,,ENVE 391,NULL,NULL,17,
P,,CE 310,CE 262,,,
C,,CE 310,CE 205,,,
P,,CE 331,CE 262,,,
C,,CE 331,CE 310,,,
P,,CE 355,EF 152,,,
P,,CE 371,CE 262,,,
P,,CBE 201,EF 152,,,
P,,CBE 201,NULL,NULL,19,
C,,CBE 201,MATH 231,,,
P,,COSC 102,COSC 101,,,
C,,COSC 102,NULL,NULL,20,
P,,MSE 201,NULL,4,NULL,
P,,CE 305,CE 205,,,
P,,CE 321,CE 262,,,
C,,CE 340,CE 300,,,
P,,EF 230,NULL,,21,
C,,EF 230,EF 152,,,
C,,EF 230,PHYS 136,,,
P,,EF 237,NULL,,21,
C,,EF 237,EF 152,,,
C,,EF 237,PHYS 136,,,
P,,CE 400,CE 399S,,,