Co-req or Pre-req,Course ID (code can populate),Course,PreReq/CoReq Course,Pre-Req Course ID (code can populate),PreReq Bucket ID,Number of Courses from PreReq list,
P,,MATH 141,MATH 130,,NULL,,
P,,MATH 132,MATH 131,,NULL,,
P,,EF 142,EF 141,,NULL,,
P,,EF 142,MATH 131,,NULL,,
C,,EF 142,MATH 132,,NULL,,
C,,EF 151,MATH 141,,NULL,,
C,,EF 105,EF 151,,NULL,,
C,,EF 151,NULL,,12,,
P,5,NULL,NULL,NULL,4,,
C,,ME 202,EF 152,,NULL,,
C,,ME 202,MATH 142,,NULL,,
P,,CE 205,,,,,
P,,EF 142,EF 141,,NULL,,
P,,EF 142,MATH 131,,NULL,,
C,,EF 142,MATH 132,,NULL,,
P,,CE 262,ME 202,,NULL,,
P,,ENVE 391,152,,NULL,,
C,,ENVE 391,MATH 231,,NULL,,
C,,ENVE 391,NULL,NULL,17,,
P,,CE 310,CE 262,,,,
C,,CE 310,CE 205,,,,
P,,CE 331,CE 262,,,,
C,,CE 331,CE 310,,,,
P,,CE 355,EF 152,,,,
P,,CE 371,CE 262,,,,
P,,CBE 201,EF 152,,,,
P,,CBE 201,NULL,NULL,19,,
C,,CBE 201,MATH 231,,,,
P,,COSC 102,COSC 101,,,,
C,,COSC 102,NULL,NULL,20,,
P,,MSE 201,NULL,4,NULL,,
P,,CE 305,CE 205,,,,
P,,CE 321,CE 262,,,,
C,,CE 340,CE 300,,,,
P,,EF 230,NULL,,21,,
C,,EF 230,EF 152,,,,
C,,EF 230,PHYS 136,,,,
P,,EF 237,NULL,,21,,
C,,EF 237,EF 152,,,,
C,,EF 237,PHYS 136,,,,
P,,CE 400,CE 399S,,,,
P,,MATH 257,MATH 148,,,,
P,,ME 366,ME 321; MSE 201,,,,
P,,ME 466,ME 321: MSE 201,,,,
C,,ME 466,ME 366,,,,
P,,ME 363,ME 231; MATH 231,,,,
P,,ME 367,ME 231; MATH 231,,,,
P,,ME 365,ME 231,,,,
P,,ME 463,ME 363,,,,
P,,ME 475,ME 344,,,,
P,,ME 477,ME 344,,,,
P,,ME 460,ME 450,,,,
C,,AE 370,AE 341,,,,
C,,AE 370,AE 341,,,,
P,,AE 363,ME 321,,,,
P,,AE 351,AE 341; ME 331,,,,
P,,AE 422,AE 351; AE 370,,,,
P,,AE 424,AE 351,,,,
C,,AE 424,ME 344,,,,
P,,AE 425,AE 351,,,,
P,,AE 450,AE 351; AE 370; AE 363,,,,
C,,AE 450,ME 344; AE 425,,,,
P,,AE 460,AE 422; AE 450,,,,
P,,ENGL 102,ENG 101,,,,
P,,CHEM 132,CHEM 122; CHEM 128,4,,,
P,,CHEM 138,CHEM 128,,,,
C,,CHEM 132,CHEM 133,,,,
C,,CHEM 122,CHEM 123,,,,
C,,EF 157,EF 105; COSC 101; COSC 102; MATH 132; MATH 141,,,2,
P,,MATH 147,MATH 130,,,,
P,,EF 152,EF 151; EF 142,,47,1,
P,,EF 158,EF 157,,,,
C,,EF 158,MATH 142,,,,
P,,MATH 142,MATH 132; MATH 141; MATH 147,,,1,
P,,MATH 148,MATH 147,,,,
P,,CHEM 210,CHEM 132; CHEM 133; CHEM 138,,48,2,
C,,CHEM 219,CHEM 210,,,,
P,,CBE 201,,,2; 48,,
C,,CBE 201,MATH 231,,,,
P,,CBE 235,,,2; 48,,
P,,MATH 231,MATH 142; MATH 148,,,1,
P,,MATH 237,MATH 148,,,,
P,,CBE 240,,,2; 48,,
C,,CBE 240,MATH 241,,,,
P,,CBE 250,,,2; 48,,
C,,CBE 250,MATH 241,,,,
P,,PHYS 231,,,22,,
C,,PHYS 231,MATH 142,,,,
P,,MATH 241,MATH 142; MATH 148,,,1,
P,,MATH 247,,,,,
P,,CBE 301,CBE 201; CBE 240; CBE 250,,,3,
P,,CBE 350,CBE 201; CBE 240; CBE 250,,,3,
C,,CBE 350,CBE 301,,,,
P,,CHEM 260; CHEM 268,CHEM 132; CHEM 133; CHEM 138,,48,,
P,,CBE 320,CBE 201; CBE 240; CBE 250,,,3,
C,,CBE 320,CBE 301; CBE 350,,,2,
P,,CBE 340,CBE 201; CBE 240; CBE 250,,,3,
P,,CBE 360,CBE 201; CBE 240; CBE 250,,,3,
C,,CBE 360,MATH 231,,,,
P,,CBE 415,CBE 340; CBE 360,,,2,
P,,CBE 415,ENGL 102; ENGL 112; ENGL 132; ENG 298,,,1,
P,,CBE 445,CBE 340; CBE 360,,,2,
P,,CBE 480,CBE 340; CBE 360; CHEM 260,,,3,
C,,CBE 480,CBE 445,,,,
P,,CBE 488; CBE 490,CBE 445; CBE 480,,,2,
C,,BSE 104,EF 142; EF 151; EF 157,,34,1,
P,,BSE 201,CHEM 122; CHEM 123,,,2,
C,,BSE 201,EF 152,,,1,
P,,BSE 231,CHEM 122; CHEM 123,,,2,
P,,BSE 231,MATH 132; MATH 141,,,1,
P,,ME 231,ME 201,,,1,
P,,ME 231,EF 152; EF 158,,2,1,
C,,ME 331,MATH 241,,,1,
P,,BSE 321,BSE 221; ENVE 200,,,1,
C,,ESS 232,ESS 231,,,,
P,,ESS 232,CHEM 102; CHEM 103,,,2,
P,,ESS 232,CHEM 122; CHEM 123,,,2,
P,,ESS 232,CHEM 128,,,1,
P,,ME 321,ME 202,,,,
P,,ME 321,MATH 142; MATH 148,,,1,
P,,BIOL 160; BIOL 168,CHEM 122; CHEM 123,,,2,
P,,BSE 326,EF 152; MATH 241,,,2,
P,,BSE 351,EF 152; EF 158,,,1,
P,,ENGL 360,ENGL 102; ENGL 112; ENGL 132; ENG 298,,,1,
P,,MATH 200,MATH 142; MATH 148,,,1,
P,,STAT 251,MATH 142; MATH 148,,,1,
P,,IE 200,MATH 142; MATH 148,,,1,
P,,BSE 411; BSE 417,ME 231; ME 321,,,2,
P,,BSE 426; BSE 427,BSE 326,,,1,
P,,BSE 431; BSE 437,BSE 321,,,1,
P,,BSE 451; BSE 457,MATH 231; BSE 351,,,2,
P,,BSE 400,,"88, 89, 90, 152",,3,
C,,BSE 400,BSE 404; BSE 444,,,2,
P,,BSE 404,,"88, 89, 90, 152",,3,
P,,BSE 444,,"88, 89, 90, 152",,3,
P,,BSE 402,BSE 400; BSE 404; BSE 444,,,3,
C,,BSE 403,BSE 402,,,,
P,,BSE 403,BSE 400; BSE 404; BSE 444,,,3,
P,,MSE 110,,4,,,
C,,MSE 210,MSE 201; MSE 207,65,,1,
P,,MSE 250,EF 230,,,1,
P,,MSE 250,MATH 142; MATH 147,,,1,
C,,MSE 250,,65; 11,,,
P,,MSE 260,,65; 6,,,
C,,MSE 260,,153; 5,,1,
C,,MSE 260,MATH 241; MATH 247,,,,
P,,MSE 300,MSE 201; MSE 207,,,1,
P,,MSE 300,MSE 210,,,1,
P,,MSE 301,EF 230; MATH 231,,,2,
P,,MSE 301,MATH 142; MATH 148,,,1,
P,,MSE 340; MSE 347,MSE 201; MSE 207,,,1,
P,,MSE 360; MSE 367,MSE 201; MSE 207,,,1,
P,,MSE 302,MSE 201; MSE 207,,,1,
P,,MSE 304,MSE 250; MSE 260; MSE 300; MSE 340,,,4,
P,,MSE 304,MSE 347; MSE 360; MSE 367,,,2,
P,,MSE 304,ENGL 102; ENGL 112; ENGL 132; ENG 298,,,1,
P,,MSE 390; MSE 397,MSE 201; MSE 207,,,1,
P,,MSE 350; MSE 357,MSE 201; MSE 207; PHSY 232; PHSY 250,,,1,
P,,MSE 480,MSE 201; MSE 207,,,1,
P,,MSE 489,,164; 161; 162; 166; 167,,5,
P,,IE 200,MATH 142; MATH 148,,,1,
P,,IE 250,ENGL 102; ENGL 112; ENGL 132; ENGL 298,,,1,
P,,IE 202,EF 152; EF 157,,,1,
C,,IE 202,IE 200; STAT 251,,,1,
P,,IE 301,NULL,NULL,44,,
P,,IE 340,IE 200,,,,
P,,IE 402,IE 202,,,,
P,,IE 401,IE 202,,,,
C,,IE 401,IE 405,,,,
P,,IE 300,NULL,,49,,
C,,IE 427,IE 406,,,,
P,,IE 310,NULL,,49,,
P,,IE 406,NULL,,49,,
C,,IE 406,IE 310,,,,
C,,IE 404,IE 401; IE 405; IE 427,,,,
P,,IE 422,IE 201; IE 250; IE 404;,,,,
P,,IE 422,NULL,,,65,
P,,IE 430,IE 405,,,,
P,,IE 465,NULL,,67,,
P,,IE 483,NULL,,68,,
P,,IE 484,NULL,,68,,
P,,ECON 311,NULL,,69,,
P,,ECON 313,NULL,,70,,
P,,ECON 322,NULL,,70,,
P,,ECON 331,NULL,,69,,
P,,ECON 333,NULL,,69,,
C,,ECON 351,ECON 313,,,,
P,,ENT 415,ENT 350,,,,
P,,ENT 451,ENT 350,,,,
P,,ENT 460,NULL,,71,,
P,,FINC 300,NULL,,72,,
P,,MARK 300,NULL,,73,,